trace: fused_rank0.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293331.997	4146.199	<string>(1): <module>
7311464293333.629	4144.567	multiprocessing/spawn.py(122): spawn_main
7311464293335.648	4142.548	multiprocessing/spawn.py(135): _main
7311464293336.901	4141.295	multiprocessing/process.py(314): _bootstrap
7311464293338.389	4139.807	multiprocessing/process.py(108): run
7311464293339.294	4138.902	torch/multiprocessing/spawn.py(87): _wrap
7311464293344.044	4134.152	profile_mega_moe_torch.py(336): test
7311464293347.641	4130.555	profile_mega_moe_torch.py(285): _profile_one
7311464293350.766	806.944	torch/profiler/profiler.py(898): step
7311464293351.489	691.516	torch/profiler/profiler.py(932): _transit_action
7311464293352.085	688.006	torch/profiler/profiler.py(241): start_trace
7311464293352.651	441.32	torch/autograd/profiler.py(398): _start_trace
7311464293781.787	6.096	<built-in function perf_counter_ns>
7311464293803.713	15.385	torch/profiler/profiler.py(390): add_metadata_json
7311464293814.659	4.039	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f320770>
7311464293823.139	1.242	torch/profiler/profiler.py(390): add_metadata_json
7311464293823.69	0.652	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f320770>
7311464293825.218	0.778	torch/profiler/profiler.py(390): add_metadata_json
7311464293825.381	0.567	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f320770>
7311464293829.721	1.42	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f3207b0>
7311464293833.097	149.613	torch/profiler/profiler.py(405): _get_distributed_info
7311464293840.481	4.419	torch/distributed/__init__.py(17): is_available
7311464293843.961	0.831	<built-in function hasattr>
7311464293847.016	4.486	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293849.636	1.716	torch/distributed/distributed_c10d.py(765): WORLD
7311464293850.845	0.355	torch/distributed/distributed_c10d.py(636): default_pg
7311464293854.178	32.303	torch/distributed/distributed_c10d.py(1417): get_backend
7311464293859.615	2.168	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293859.955	0.943	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293860.307	0.473	torch/distributed/distributed_c10d.py(765): WORLD
7311464293860.623	0.083	torch/distributed/distributed_c10d.py(636): default_pg
7311464293861.406	0.28	torch/distributed/distributed_c10d.py(765): WORLD
7311464293861.576	0.042	torch/distributed/distributed_c10d.py(636): default_pg
7311464293863.119	1.227	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293866.475	0.161	torch/distributed/distributed_c10d.py(650): pg_map
7311464293870.489	1.945	<built-in method get of dict object at 0x2b1d2ed333c0>
7311464293874.418	0.12	torch/utils/_typing_utils.py(13): not_none
7311464293877.901	8.029	torch/distributed/distributed_c10d.py(320): __new__
7311464293878.93	0.229	<built-in function isinstance>
7311464293881.946	0.355	<built-in method upper of str object at 0x2b1c649288d0>
7311464293883.574	2.094	<built-in function getattr>
7311464293887.941	10.924	torch/distributed/distributed_c10d.py(2476): get_rank
7311464293888.67	0.092	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293889.48	1.611	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293889.727	0.734	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293890.01	0.349	torch/distributed/distributed_c10d.py(765): WORLD
7311464293890.202	0.072	torch/distributed/distributed_c10d.py(636): default_pg
7311464293890.765	0.237	torch/distributed/distributed_c10d.py(765): WORLD
7311464293890.896	0.039	torch/distributed/distributed_c10d.py(636): default_pg
7311464293895.698	3.12	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2ec06df0>
