trace: legacy_rank1.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463686527.715	5870.226	<string>(1): <module>
7311463686529.418	5868.523	multiprocessing/spawn.py(122): spawn_main
7311463686532.041	5865.9	multiprocessing/spawn.py(135): _main
7311463686534.207	5863.734	multiprocessing/process.py(314): _bootstrap
7311463686536.408	5861.533	multiprocessing/process.py(108): run
7311463686537.478	5860.463	torch/multiprocessing/spawn.py(87): _wrap
7311463686542.714	5855.227	profile_mega_moe_torch.py(334): test
7311463686546.64	5851.301	profile_mega_moe_torch.py(285): _profile_one
7311463686553.378	732.056	torch/profiler/profiler.py(898): step
7311463686554.114	597.056	torch/profiler/profiler.py(932): _transit_action
7311463686554.8	594.764	torch/profiler/profiler.py(241): start_trace
7311463686555.53	289.763	torch/autograd/profiler.py(398): _start_trace
7311463686828.927	7.765	<built-in function perf_counter_ns>
7311463686859.126	18.739	torch/profiler/profiler.py(390): add_metadata_json
7311463686871.649	5.94	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6591d10770>
7311463686882.342	1.737	torch/profiler/profiler.py(390): add_metadata_json
7311463686883.361	0.663	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6591d10770>
7311463686885.313	0.884	torch/profiler/profiler.py(390): add_metadata_json
7311463686885.66	0.477	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6591d10770>
7311463686891.951	1.993	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6591d107b0>
7311463686899.289	189.468	torch/profiler/profiler.py(405): _get_distributed_info
7311463686909.458	4.728	torch/distributed/__init__.py(17): is_available
7311463686912.452	1.538	<built-in function hasattr>
7311463686915.958	6.15	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463686917.916	2.801	torch/distributed/distributed_c10d.py(765): WORLD
7311463686919.806	0.696	torch/distributed/distributed_c10d.py(636): default_pg
7311463686925.682	39.088	torch/distributed/distributed_c10d.py(1417): get_backend
7311463686932.544	3.455	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463686933.127	1.417	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463686933.749	0.676	torch/distributed/distributed_c10d.py(765): WORLD
7311463686934.228	0.081	torch/distributed/distributed_c10d.py(636): default_pg
7311463686935.436	0.448	torch/distributed/distributed_c10d.py(765): WORLD
7311463686935.723	0.05	torch/distributed/distributed_c10d.py(636): default_pg
7311463686938.018	0.765	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463686941.544	0.651	torch/distributed/distributed_c10d.py(650): pg_map
7311463686946.46	1.167	<built-in method get of dict object at 0x2a659163dc80>
7311463686951.45	0.118	torch/utils/_typing_utils.py(13): not_none
7311463686957.78	6.571	torch/distributed/distributed_c10d.py(320): __new__
7311463686958.754	0.236	<built-in function isinstance>
7311463686961.104	0.526	<built-in method upper of str object at 0x2a64c722c8a0>
7311463686962.74	1.319	<built-in function getattr>
