workload,M,active_experts,humming_gpu_p50_ms,flashinfer_gpu_p50_ms,flashinfer_over_humming,faster_backend,speedup
dsv4-flash,1,6,0.480448,0.265648,0.553,flashinfer,1.81
dsv4-flash,8,48,0.488352,0.307856,0.630,flashinfer,1.59
dsv4-flash,32,192,0.503200,0.494480,0.983,flashinfer,1.02
dsv4-flash,128,256,0.496336,0.624608,1.258,humming,1.26
dsv4-flash,512,256,0.507232,0.685888,1.352,humming,1.35
dsv4-flash,1024,256,0.498064,0.825040,1.656,humming,1.66
dsv4-flash,2048,256,0.909584,1.365616,1.501,humming,1.50
dsv4-flash,4096,256,1.721216,2.076576,1.206,humming,1.21
dsv4-flash,8192,256,2.608896,3.902208,1.496,humming,1.50
dsv4-pro,1,6,0.482592,0.273024,0.566,flashinfer,1.77
dsv4-pro,8,48,0.487104,0.342080,0.702,flashinfer,1.42
dsv4-pro,32,192,0.496912,0.580320,1.168,humming,1.17
dsv4-pro,128,384,0.734784,0.922560,1.256,humming,1.26
dsv4-pro,512,384,0.809312,1.018800,1.259,humming,1.26
dsv4-pro,1024,384,0.991824,1.289760,1.300,humming,1.30
dsv4-pro,2048,384,1.342736,1.605136,1.195,humming,1.20
dsv4-pro,4096,384,2.561552,2.901808,1.133,humming,1.13
dsv4-pro,8192,384,3.483872,4.801152,1.378,humming,1.38
