workload,quant_mode,quant_contract,weight_group_size,activation_dtype,backend,M,active_experts,gpu_p50_ms,gpu_p90_ms,tokens_per_second,token_expert_pairs_per_second,algorithmic_tflops,output_sample_finite
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1,6,0.18512000143527985,0.19270079880952834,5401.90142743496,32411.40856460976,0.40782990176453093,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8,48,0.19441600143909454,0.1986399993300438,41148.876331078085,246893.2579864685,3.1066361386370303,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,32,192,0.4246239960193634,0.42627520561218263,75360.79048754644,452164.74292527867,5.689549169731404,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,128,256,0.5653600096702576,0.5668064236640931,226404.411013533,1358426.466081198,17.0929606811707,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,512,256,0.8117599785327911,0.8139584243297577,630728.3107568448,3784369.864541069,47.618392980972196,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1024,256,1.5321280360221863,1.533670389652252,668351.4536151806,4010108.7216910836,50.458845155471394,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,2048,256,2.915168046951294,2.9263392448425294,702532.3984810463,4215194.390886278,53.039420083415635,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,4096,256,5.765167951583862,5.777942276000976,710473.6643231196,4262841.985938718,53.63896557897212,true
deepseek-v4-flash-wint4-a16-g128-tp4,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8192,256,8.846672058105469,8.863270473480226,925997.9285085348,5555987.571051208,69.91050267963111,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1,6,0.1841920018196106,0.19459519982337953,5429.117389034923,32574.704334209535,0.5379735874581826,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8,48,0.19180800020694733,0.19853440672159195,41708.37499670798,250250.24998024784,4.132900896441792,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,32,192,0.5544639825820923,0.5562143802642823,57713.397092050385,346280.3825523023,5.718845450038816,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,128,384,1.0701760053634644,1.073468804359436,119606.49403321961,717638.9641993177,11.851859163757155,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,512,384,1.5248639583587646,1.5274624347686767,335767.65795623744,2014605.9477374246,33.27136227851181,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1024,384,2.9355679750442505,2.940048003196716,348825.17070127267,2092951.024207636,34.56523685726285,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,2048,384,4.261360168457031,4.279481744766235,480597.72444476275,2883586.3466685764,47.6226361334485,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,4096,384,5.874768018722534,5.889673566818237,697219.019873856,4183314.1192431357,69.08773387791697,true
deepseek-v4-pro-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8192,384,11.70627212524414,11.725302696228027,699795.7942848651,4198774.765709191,69.34306756747043,true
