workload,quant_mode,quant_contract,weight_group_size,activation_dtype,backend,M,active_experts,gpu_p50_ms,gpu_p90_ms,tokens_per_second,token_expert_pairs_per_second,algorithmic_tflops,output_sample_finite
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,1,8,0.24169600009918213,0.25023360550403595,4137.428834526186,33099.430676209486,0.3644263205177389,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,8,64,0.2741760015487671,0.2767008036375046,29178.337837044637,233426.7026963571,2.5700392011686213,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,32,256,0.680895984172821,0.6836287796497345,46996.89929714426,375975.19437715405,4.139504936901796,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,128,384,0.9856320023536682,0.9915615916252136,129865.91313425166,1038927.3050740133,11.43863949737553,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,512,384,1.0606880187988281,1.064739203453064,482705.55613498145,3861644.4490798516,42.516890743302724,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,1024,384,1.1782079935073853,1.1818463683128357,869116.4935587252,6952931.948469802,76.55211449338604,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,2048,384,1.6689919829368591,1.675759994983673,1227087.9794139068,9816703.835311254,108.082380428561,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,4096,384,3.1285279989242554,3.14552640914917,1309241.9186941623,10473935.349553298,115.31853094747859,true
kimi-k2.6-shape-wint4-afp8-g128-tp8,wint4_afp8,hopper_signed_int4_bf16g128_x_fp8e4m3,128,float8e4m3,sglang_cutlass,8192,384,4.717151880264282,4.738877010345459,1736641.13599434,13893129.08795472,152.9640181285777,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1,8,0.15191999822854996,0.15813120305538178,6582.411872435583,52659.294979484665,0.5797813653702851,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8,64,0.15830400586128235,0.1644671931862831,50535.676317693375,404285.410541547,4.451201775762138,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,32,256,0.5090399980545044,0.5116607964038848,62863.42944032006,502907.4355225605,5.5370350046602965,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,128,384,0.7518559992313385,0.7553376019001007,170245.36630799124,1361962.93046393,14.99527723862853,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,512,384,1.074944019317627,1.0772832393646241,476303.8733170653,3810430.9865365224,41.953028062454464,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,1024,384,2.1224799156188965,2.1271072387695313,482454.5063840619,3859636.051072495,42.49477818483862,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,2048,384,3.0975680351257324,3.113318395614624,661163.847501051,5289310.780008408,58.23556557481002,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,4096,384,7.898608207702637,7.913862466812134,518572.3727891232,4148578.9823129857,45.67605372705712,true
kimi-k2.6-shape-wint4-a16-g128-tp8,wint4_a16,sglang_marlin_signed_int4_bf16g128_x_bfloat16,128,bfloat16,sglang_marlin,8192,384,12.190383911132812,12.207363033294678,672005.0869373108,5376040.695498486,59.190466107391714,true
