variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
flashinfer_mxfp4a16,ttft,16384,256,1,1,0,42.252,24.83,6598.4,5.32,5.32,1124.79,4.75,5.3,1102.93,103.1,14.66,6.01,1287.32,0.4,10,2560,163840
flashinfer_mxfp4a16,ttft,16384,256,1,2,0,40.826,24.78,6612.56,5.34,5.34,1114.22,4.76,5.12,1096.63,103.32,16.25,6.29,1236.7,0.4,10,2560,163840
flashinfer_mxfp4a16,ttft,16384,256,1,3,0,40.758,24.32,6736.86,5.19,5.19,1108.1,4.76,5.1,1095.98,105.26,14.05,5.77,1225.08,0.41,10,2560,163840
flashinfer_mxfp4a16,ttft,32768,256,1,1,0,54.206,35.64,9193.22,5.27,5.27,2217.38,4.79,5.23,2189.49,71.82,14.14,5.86,2398.46,0.28,10,2560,327680
flashinfer_mxfp4a16,ttft,32768,256,1,2,0,52.12,35.36,9267.05,5.19,5.19,2211.63,4.78,5.19,2214.53,72.4,13.09,5.69,2312.25,0.28,10,2560,327680
flashinfer_mxfp4a16,ttft,32768,256,1,3,0,53.468,35.98,9106.97,5.4,5.4,2219.91,4.79,5.11,2204.07,71.15,17.86,6.6,2371.84,0.28,10,2560,327680
flashinfer_mxfp4a16,ttft,65536,256,1,1,0,77.893,58.64,11176.84,5.47,5.47,4468.13,4.92,5.37,4455.99,43.66,16.59,6.9,4697.56,0.17,10,2560,655360
flashinfer_mxfp4a16,ttft,65536,256,1,2,0,78.084,58.48,11206.66,5.43,5.43,4462.79,4.91,5.42,4454.11,43.78,14.32,6.19,4665.87,0.17,10,2560,655360
flashinfer_mxfp4a16,ttft,65536,256,1,3,0,78.937,58.29,11242.71,5.35,5.35,4463.94,4.96,5.39,4464.51,43.92,10.99,5.89,4620.96,0.17,10,2560,655360
flashinfer_mxfp4a16,ttft,131072,256,1,1,0,132.985,106.93,12257.91,5.77,5.77,9221.69,5.12,5.7,9209.85,23.94,16.61,7,9493.4,0.09,10,2560,1310720
