variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
marlin_mxfp4a16,ttft,16384,256,1,1,0,39.959,22.88,7160.12,4.77,4.77,1069.5,4.37,4.8,1050.97,111.88,11.81,5.47,1225.42,0.44,10,2560,163840
marlin_mxfp4a16,ttft,16384,256,1,2,0,40.007,23.32,7025.92,4.9,4.9,1080.13,4.38,4.76,1061.58,109.78,12.94,5.68,1256.67,0.43,10,2560,163840
marlin_mxfp4a16,ttft,16384,256,1,3,0,39.442,23.2,7063.06,4.89,4.89,1071.98,4.35,4.71,1058.71,110.36,15.06,6.15,1184.8,0.43,10,2560,163840
marlin_mxfp4a16,ttft,32768,256,1,1,0,51.162,33.66,9736.02,4.84,4.84,2130.21,4.37,4.88,2112.28,76.06,13.24,5.47,2303.28,0.3,10,2560,327680
marlin_mxfp4a16,ttft,32768,256,1,2,0,51.716,34.34,9542.93,5.07,5.07,2140.11,4.41,5.23,2128.84,74.55,15.4,5.44,2243.61,0.29,10,2560,327680
marlin_mxfp4a16,ttft,32768,256,1,3,0,51.258,34.58,9476.53,5.15,5.15,2144.71,4.36,5,2138.16,74.04,15.57,6.13,2247.43,0.29,10,2560,327680
marlin_mxfp4a16,ttft,65536,256,1,1,0,75.611,56.15,11672.52,5.11,5.11,4309.67,4.48,5.07,4305.81,45.6,14.41,6.04,4488.83,0.18,10,2560,655360
marlin_mxfp4a16,ttft,65536,256,1,2,0,76.037,56.61,11576.21,5.29,5.29,4311.66,4.49,5.25,4288.87,45.22,14.67,6.22,4527.4,0.18,10,2560,655360
marlin_mxfp4a16,ttft,65536,256,1,3,0,75.059,55.61,11785.68,5,5,4285.22,4.47,4.97,4276.7,46.04,14.17,5.43,4464.57,0.18,10,2560,655360
marlin_mxfp4a16,ttft,131072,256,1,1,0,126.508,101.89,12864.3,5.24,5.24,8851.54,4.62,5.15,8844.23,25.13,14.45,6.31,9116.69,0.1,10,2560,1310720
marlin_mxfp4a16,ttft,131072,256,1,2,0,125.674,101.65,12894.54,5.19,5.19,8841.49,4.64,5.22,8817.38,25.18,13.62,5.82,9040.12,0.1,10,2560,1310720
marlin_mxfp4a16,ttft,131072,256,1,3,0,126.934,102.44,12795.06,5.38,5.38,8871.74,4.65,5.45,8838.06,24.99,14.54,5.83,9155.91,0.1,10,2560,1310720
marlin_mxfp4a16,tpot,1024,1024,1,1,0,20.04,4.81,212.85,4.45,4.45,244.67,4.23,4.45,244.67,212.85,13.43,4.45,244.67,0.21,1,1024,1024
marlin_mxfp4a16,tpot,1024,1024,1,2,0,20.86,4.85,211.09,4.52,4.52,215.38,4.22,4.52,215.38,211.09,13.52,4.52,215.38,0.21,1,1024,1024
marlin_mxfp4a16,tpot,1024,1024,1,3,0,19.64,4.68,218.78,4.39,4.39,183.43,4.22,4.39,183.43,218.78,9.94,4.39,183.43,0.21,1,1024,1024
marlin_mxfp4a16,tpot,1024,1024,4,1,0,21.372,6.13,668.5,5.15,5.15,580.41,5.05,5.18,588.5,668.5,11.89,5.4,589,0.65,4,4096,4096
