variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
humming_mxfp4a16,tpot,1024,1024,1,1,0,21.066,4.64,220.89,4.31,4.31,216.49,4.08,4.31,216.49,220.89,11.86,4.31,216.49,0.22,1,1024,1024
humming_mxfp4a16,tpot,1024,1024,4,3,0,20.667,5.68,721.63,5.01,5.01,374.14,4.94,5.04,376.57,721.63,10.66,5.17,377.14,0.7,4,4096,4096
humming_mxfp4a16,tpot,1024,1024,8,1,0,24.07,7.24,1130.95,6.08,6.08,564.01,5.88,6.09,569.61,1130.95,14.74,6.51,570.62,1.1,8,8192,8192
humming_mxfp4a16,tpot,32768,1024,1,2,0,22.95,6.18,5298.88,4.49,4.49,1581.52,4.23,4.49,1581.52,165.59,10.23,4.49,1581.52,0.16,1,1024,32768
humming_mxfp4a16,tpot,32768,1024,4,1,0,29.376,11.93,10988.28,7.46,7.46,3992.02,5.19,7.48,4014.49,343.38,12.27,9.22,6110.4,0.34,4,4096,131072
humming_mxfp4a16,tpot,32768,1024,8,2,0,36.532,19.3,13580.6,11.35,11.35,7171.6,6.22,11.16,7368.01,424.39,14.28,15.93,12056.81,0.41,8,8192,262144
humming_mxfp4a16,tpot,65536,1024,1,3,0,27.414,8.08,8110.1,4.77,4.77,3195.18,4.39,4.77,3195.18,126.72,13.77,4.77,3195.18,0.12,1,1024,65536
humming_mxfp4a16,tpot,65536,1024,4,2,0,37.299,18.5,14173.54,9.95,9.95,7957.66,5.36,9.99,7965.9,221.46,11.3,13.88,12407.1,0.22,4,4096,262144
humming_mxfp4a16,tpot,65536,1024,8,2,0,51.042,32.47,16147.21,17.07,17.07,14378.74,6.5,17.16,14473.94,252.3,18.82,27.53,24500.75,0.25,8,8192,524288
humming_mxfp4a16,tpot,131072,1024,1,1,0,33.691,11.58,11314.94,4.82,4.82,6645.28,4.53,4.82,6645.28,88.4,12.79,4.82,6645.28,0.09,1,1024,131072
humming_mxfp4a16,tpot,131072,1024,4,2,0,54.673,32.7,16032.28,15.03,15.03,16822.38,5.7,14.61,16944.02,125.25,12.27,24.58,25906.38,0.12,4,4096,524288
