workload,tp_size,leg,global_tokens,local_routed_rows,local_experts,shape_n,shape_k,a_dtype,b_dtype,bs_dtype,input_scale_group_size,weight_scale_group_size,gemm_type,is_moe_down,time_ms,compute_tops,memory_gbps
dsv4-flash,4,w13,1,2,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.01749897624924931,0.9587541443014259,255.37951114092806
dsv4-flash,4,w13,2,3,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.017811162985841372,1.4129242441947822,376.35498621446953
dsv4-flash,4,w13,4,6,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.021782902930232127,2.3106033278119944,615.4661774392406
dsv4-flash,4,w13,8,12,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.02799687631435351,3.5955188310915847,957.7239867382383
dsv4-flash,4,w13,16,24,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.043372590028503716,4.641793166322132,1236.4159014888794
dsv4-flash,4,w13,32,48,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.07356144452569476,5.4736987099180014,1458.0072576271507
dsv4-flash,4,w13,64,96,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.09490920372844971,8.485018695385005,1508.8199076005367
dsv4-flash,4,w13,128,192,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.09508282047858753,16.939050902078645,1512.2721778365997
dsv4-flash,4,w13,256,384,64,1024,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.09517426524368579,33.845551250144354,1523.2218460401293
dsv4-flash,4,w2,1,2,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.01061357021085876,0.7903662795218146,211.59477493278774
dsv4-flash,4,w2,2,3,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.01269468783992888,0.9911950698324926,265.360128777997
dsv4-flash,4,w2,4,6,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.017366161503205357,1.4491299067646597,387.9572350376022
dsv4-flash,4,w2,8,12,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.02194405137870748,2.293635169339663,614.0459556649865
dsv4-flash,4,w2,16,24,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.0333507077516484,3.0183256304365718,808.0581737779763
dsv4-flash,4,w2,32,48,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.05057575216417417,3.9806939765615916,1065.700888145755
dsv4-flash,4,w2,64,96,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.06900025964640336,5.835531432250028,1045.5538626913049
dsv4-flash,4,w2,128,192,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.06924882273117128,11.62917052216548,1053.8728764142504
dsv4-flash,4,w2,256,384,64,4096,512,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.06889575753601676,23.377531412700076,1083.5412029684753
dsv4-flash,8,w13,1,1,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.020087650439287303,0.2088001288491563,55.72418752422866
dsv4-flash,8,w13,2,2,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.022055765277611977,0.3803362927748863,101.50343784590696
dsv4-flash,8,w13,4,3,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.01871967712009369,0.6721756961552243,179.3889915117934
dsv4-flash,8,w13,8,6,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.01984991456804521,1.2678051542102071,338.34946628999023
dsv4-flash,8,w13,16,12,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.021180373508270393,2.3763342974261894,634.1916489222906
dsv4-flash,8,w13,32,24,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.0315054719891953,3.195105156162147,852.7036830050731
dsv4-flash,8,w13,64,48,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.03370418012683327,5.973341919084858,1065.2019976423383
dsv4-flash,8,w13,128,96,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.032365616869368626,12.440769648394308,1116.8553389819926
dsv4-flash,8,w13,256,192,32,512,4096,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,False,0.03258669542415261,24.71273498334302,1124.37347583405
dsv4-flash,8,w2,1,1,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.008689207695922277,0.24135134909758965,65.09684424570112
dsv4-flash,8,w2,2,2,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.008632049847671675,0.48589895494305224,131.05577701281933
dsv4-flash,8,w2,4,3,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.010998042024903825,0.5720523694811956,154.29291833560157
dsv4-flash,8,w2,8,6,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.013383992214828663,0.9401463926479938,253.57456471319733
dsv4-flash,8,w2,16,12,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.019159213545651657,1.313510282665626,354.27758993481865
dsv4-flash,8,w2,32,24,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.028233069323971495,1.7827196689970064,480.83188704083767
dsv4-flash,8,w2,64,48,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.02966574521662906,3.3932502037256573,614.7060141869626
dsv4-flash,8,w2,128,96,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.030612880360041356,6.576532153530685,608.9400206957466
dsv4-flash,8,w2,256,192,32,4096,256,float8e4m3,float4e2m1,float8e8m0,0,32,indexed,True,0.02891175001691282,13.926973765491734,672.8337090843856
