mode,backend_mode,shape,m,median_max_rank_us,min_max_rank_us,max_max_rank_us,observation_1_us,observation_2_us,observation_3_us,requested_flush_l2_bytes,actual_flush_l2_bytes_min,num_samples,log,run_exit
ht,ht_grouped_contiguous,flash,8,1162.2400283813477,1161.5040302276611,1162.3040437698364,1161.5040302276611,1162.2400283813477,1162.3040437698364,8000000000,8000000000,20,ht/logs/ht_flash_M8.log,0
ht,ht_grouped_contiguous,flash,16,1288.5440587997437,1283.8560342788696,1303.1839728355408,1303.1839728355408,1283.8560342788696,1288.5440587997437,8000000000,8000000000,20,ht/logs/ht_flash_M16.log,0
ht,ht_grouped_contiguous,flash,32,1301.0720014572144,1287.551999092102,1362.0960116386414,1362.0960116386414,1301.0720014572144,1287.551999092102,8000000000,8000000000,20,ht/logs/ht_flash_M32.log,0
ht,ht_grouped_contiguous,flash,64,1300.9120225906372,1300.6080389022827,1301.5199899673462,1301.5199899673462,1300.6080389022827,1300.9120225906372,8000000000,8000000000,20,ht/logs/ht_flash_M64.log,0
ht,ht_grouped_contiguous,flash,128,1304.2240142822266,1302.3520112037659,1313.439965248108,1313.439965248108,1302.3520112037659,1304.2240142822266,8000000000,8000000000,20,ht/logs/ht_flash_M128.log,0
ht,ht_grouped_contiguous,flash,256,1334.656000137329,1332.7199816703796,1335.2960348129272,1334.656000137329,1335.2960348129272,1332.7199816703796,8000000000,8000000000,20,ht/logs/ht_flash_M256.log,0
ht,ht_grouped_contiguous,flash,512,1523.8719582557678,1523.792028427124,1526.9280076026917,1523.8719582557678,1526.9280076026917,1523.792028427124,8000000000,8000000000,20,ht/logs/ht_flash_M512.log,0
ht,ht_grouped_contiguous,flash,1024,2212.6240730285645,2193.1360960006714,2233.2799434661865,2233.2799434661865,2212.6240730285645,2193.1360960006714,8000000000,8000000000,20,ht/logs/ht_flash_M1024.log,0
ht,ht_grouped_contiguous,flash,2048,3752.17604637146,3751.7119646072388,3790.6399965286255,3790.6399965286255,3751.7119646072388,3752.17604637146,8000000000,8000000000,20,ht/logs/ht_flash_M2048.log,0
ht,ht_grouped_contiguous,flash,4096,6797.312021255493,6791.680097579956,6803.47204208374,6797.312021255493,6791.680097579956,6803.47204208374,8000000000,8000000000,20,ht/logs/ht_flash_M4096.log,0
