model,m,actual_cap,pr36_max_rank_median_us,pr36_observation_min_us,pr36_observation_max_us,pr383_h20_megamoe_us,pr36_delta_vs_pr383_pct,mxfp4afp8_shared0_max_rank_median_us,pr36_delta_vs_mxfp4afp8_shared0_pct
flash,8,384,473.055989,468.175992,485.392004,273.1,73.217132,444.0,6.544142
flash,16,384,514.192015,512.751997,524.287999,304.4,68.919847,495.6,3.751415
flash,32,384,540.096015,531.263977,572.495997,302.0,78.839740,496.0,8.890326
flash,64,384,540.991992,540.656000,544.656008,340.7,58.788374,499.7,8.263356
flash,128,384,548.368007,540.848017,549.935997,414.4,32.328187,503.9,8.824768
flash,256,384,570.127994,560.784012,574.575990,569.5,0.110271,511.8,11.396638
flash,512,768,914.719999,902.639985,953.920007,922.0,-0.789588,924.3,-1.036460
flash,1024,1152,1679.520011,1678.160012,1680.655956,1516.6,10.742451,1590.0,5.630189
flash,2048,2304,2880.640030,2879.408002,2881.008029,2735.1,5.321196,2831.0,1.753445
flash,4096,4224,5248.800039,5222.303867,5256.560087,5116.0,2.595779,5339.0,-1.689454
flash,8192,8448,9884.592056,9876.303673,9887.088299,9749.0,1.390830,10299.0,-4.023769
pro,8,384,1204.656005,1195.616007,1208.815992,768.0,56.856251,1202.5,0.179294
pro,16,384,1453.887999,1447.552025,1454.608023,950.3,52.992529,1564.0,-7.040409
pro,32,384,1579.616010,1577.856004,1582.672000,1026.3,53.913671,1622.0,-2.613070
pro,64,384,1603.071988,1596.144021,1609.824002,1059.9,51.247475,1637.0,-2.072573
pro,128,384,1628.927946,1614.079952,1660.127997,1201.0,35.630970,1651.5,-1.366761
pro,256,384,1641.664028,1640.400052,1645.856023,1639.9,0.107569,1692.0,-2.974939
pro,512,768,3056.719899,3054.095984,3066.735983,2599.0,17.611385,2579.0,18.523455
pro,1024,1152,4955.487967,4948.704004,4983.472109,4036.0,22.782160,4036.0,22.782160
pro,2048,2304,7672.800064,7672.319889,7672.863960,6986.0,9.831092,7114.0,7.854935
pro,4096,4224,13807.616234,13790.415764,13879.839897,12932.0,6.770927,13346.0,3.458836
pro,8192,8448,25656.047821,25651.023865,25675.520897,24777.0,3.547838,25905.0,-0.961020
