model,m,pr383_h20_megamoe_us,shared0_rank0_median_us,shared0_max_rank_median_us,shared1_rank0_median_us,shared1_max_rank_median_us,shared1_vs_shared0_pct,shared1_vs_pr383_pct
flash,8,273.1,430.4,444.0,502.2,513.8,15.7,88.1
flash,16,304.4,481.1,495.6,542.8,547.7,10.5,79.9
flash,32,302.0,468.6,496.0,548.3,553.7,11.6,83.3
flash,64,340.7,480.0,499.7,558.6,561.5,12.4,64.8
flash,128,414.4,485.3,503.9,576.7,583.2,15.7,40.7
flash,256,569.5,501.8,511.8,604.7,608.7,18.9,6.9
flash,512,922.0,900.0,924.3,1124.0,1134.0,22.7,23.0
flash,1024,1516.6,1584.0,1590.0,2012.0,2025.0,27.4,33.5
flash,2048,2735.1,2794.0,2831.0,3690.0,3690.0,30.3,34.9
flash,4096,5116.0,5283.0,5339.0,6921.0,6921.0,29.6,35.3
flash,8192,9749.0,10293.0,10299.0,13500.0,13504.0,31.1,38.5
pro,8,768.0,1187.0,1202.5,1361.0,1369.5,13.9,78.3
pro,16,950.3,1543.0,1564.0,1772.5,1781.0,13.9,87.4
pro,32,1026.3,1605.5,1622.0,1860.0,1866.5,15.1,81.9
pro,64,1059.9,1616.5,1637.0,1871.5,1880.5,14.9,77.4
pro,128,1201.0,1625.0,1651.5,1923.0,1927.0,16.7,60.4
pro,256,1639.9,1663.0,1692.0,1971.0,1982.0,17.1,20.9
pro,512,2599.0,2563.0,2579.0,3140.0,3145.0,21.9,21.0
pro,1024,4036.0,3997.0,4036.0,5226.0,5230.0,29.6,29.6
pro,2048,6986.0,7060.0,7114.0,9266.0,9279.0,30.4,32.8
pro,4096,12932.0,13321.0,13346.0,17335.0,17356.0,30.0,34.2
pro,8192,24777.0,25892.0,25905.0,33700.0,33725.0,30.2,36.1
