model,m,pr383_h20_megamoe_us,current_rank0_median_us,current_max_rank_median_us,max_rank_delta_vs_pr383_pct
flash,8,273.1,430.4,444.0,62.6
flash,16,304.4,481.1,495.6,62.8
flash,32,302.0,468.6,496.0,64.2
flash,64,340.7,480.0,499.7,46.7
flash,128,414.4,485.3,503.9,21.6
flash,256,569.5,501.8,511.8,-10.1
flash,512,922.0,900.0,924.3,0.2
flash,1024,1516.6,1584.0,1590.0,4.8
flash,2048,2735.1,2794.0,2831.0,3.5
flash,4096,5116.0,5283.0,5339.0,4.4
flash,8192,9749.0,10293.0,10299.0,5.6
pro,8,768.0,1187.0,1202.5,56.6
pro,16,950.3,1543.0,1564.0,64.6
pro,32,1026.3,1605.5,1622.0,58.0
pro,64,1059.9,1616.5,1637.0,54.4
pro,128,1201.0,1625.0,1651.5,37.5
pro,256,1639.9,1663.0,1692.0,3.2
pro,512,2599.0,2563.0,2579.0,-0.8
pro,1024,4036.0,3997.0,4036.0,0.0
pro,2048,6986.0,7060.0,7114.0,1.8
pro,4096,12932.0,13321.0,13346.0,3.2
pro,8192,24777.0,25892.0,25905.0,4.6
