model,m,pr383_h20_megamoe_us,shared0_rank0_median_us,shared0_max_rank_median_us,shared1_rank0_median_us,shared1_max_rank_median_us,shared1_vs_shared0_pct,shared1_vs_pr383_pct
flash,8,273.1,271.7,280.4,467.4,478.6,70.7,75.2
flash,16,304.4,292.1,306.6,505.2,510.4,66.5,67.7
flash,32,302.0,306.1,318.9,504.9,520.8,63.3,72.5
flash,64,340.7,337.4,358.9,522.6,528.1,47.1,55.0
flash,128,414.4,390.4,406.8,528.3,533.8,31.2,28.8
flash,256,569.5,503.6,506.8,549.9,553.6,9.2,-2.8
flash,512,922.0,928.6,928.6,1064.0,1070.0,15.2,16.1
flash,1024,1516.6,1514.0,1555.0,1860.0,1864.0,19.9,22.9
flash,2048,2735.1,2738.0,2768.0,3390.0,3398.0,22.8,24.2
flash,4096,5116.0,5128.0,5144.0,6447.0,6473.0,25.8,26.5
flash,8192,9749.0,9917.0,9928.0,12381.0,12497.0,25.9,28.2
pro,8,768.0,729.1,749.0,1306.0,1316.0,75.7,71.4
pro,16,950.3,903.0,922.5,1688.5,1696.0,83.8,78.5
pro,32,1026.3,976.2,985.2,1749.5,1753.5,78.0,70.9
pro,64,1059.9,1013.0,1023.5,1770.0,1779.0,73.8,67.8
pro,128,1201.0,1179.5,1194.0,1808.5,1822.0,52.6,51.7
pro,256,1639.9,1632.0,1635.0,1853.0,1863.0,13.9,13.6
pro,512,2599.0,2527.0,2557.0,2980.0,3003.0,17.4,15.5
pro,1024,4036.0,3902.0,3923.0,4943.0,4981.0,27.0,23.4
pro,2048,6986.0,6930.0,6952.0,8680.0,8692.0,25.0,24.4
pro,4096,12932.0,13013.0,13044.0,16319.0,16321.0,25.1,26.2
pro,8192,24777.0,25187.0,25225.0,31810.0,31817.0,26.1,28.4
