model,m,pr383_h20_megamoe_us,current_rank0_median_us,current_max_rank_median_us,max_rank_delta_vs_pr383_pct
flash,8,273.1,271.7,280.4,2.7
flash,16,304.4,292.1,306.6,0.7
flash,32,302.0,306.1,318.9,5.6
flash,64,340.7,337.4,358.9,5.3
flash,128,414.4,390.4,406.8,-1.8
flash,256,569.5,503.6,506.8,-11.0
flash,512,922.0,928.6,928.6,0.7
flash,1024,1516.6,1514.0,1555.0,2.5
flash,2048,2735.1,2738.0,2768.0,1.2
flash,4096,5116.0,5128.0,5144.0,0.5
flash,8192,9749.0,9917.0,9928.0,1.8
pro,8,768.0,729.1,749.0,-2.5
pro,16,950.3,903.0,922.5,-2.9
pro,32,1026.3,976.2,985.2,-4.0
pro,64,1059.9,1013.0,1023.5,-3.4
pro,128,1201.0,1179.5,1194.0,-0.6
pro,256,1639.9,1632.0,1635.0,-0.3
pro,512,2599.0,2527.0,2557.0,-1.6
pro,1024,4036.0,3902.0,3923.0,-2.8
pro,2048,6986.0,6930.0,6952.0,-0.5
pro,4096,12932.0,13013.0,13044.0,0.9
pro,8192,24777.0,25187.0,25225.0,1.8
