model,m,before_rank0_us,after_rank0_us,rank0_speedup_pct,before_maxrank_us,after_maxrank_us,maxrank_speedup_pct,after_min_us,after_max_us
flash,8,276.443,272.220,1.552,296.866,286.469,3.629,256.626,368.290
flash,16,323.007,311.080,3.834,336.444,318.065,5.779,293.973,462.657
flash,32,317.660,323.143,-1.697,329.161,331.933,-0.835,313.380,435.701
flash,64,343.717,333.899,2.940,358.394,349.634,2.505,330.278,420.651
flash,128,404.472,408.494,-0.985,411.817,417.405,-1.339,389.431,500.948
flash,256,467.855,471.669,-0.809,504.624,476.138,5.983,461.872,479.487
flash,512,884.832,881.263,0.405,892.800,902.580,-1.084,888.046,963.249
flash,1024,1487.000,1449.000,2.622,1497.000,1453.000,3.028,1453.000,1461.000
flash,2048,2714.000,2665.000,1.839,2726.000,2691.000,1.301,2690.000,2729.000
flash,4096,5106.000,5005.000,2.018,5121.000,5017.000,2.073,5005.000,5025.000
flash,8192,9907.000,9741.000,1.704,9917.000,9759.000,1.619,9745.000,9789.000
pro,8,707.044,700.158,0.984,728.099,711.204,2.375,693.827,809.673
pro,16,934.857,913.428,2.346,949.266,924.852,2.640,904.525,970.502
pro,32,988.160,985.188,0.302,1009.500,998.093,1.143,982.129,1159.000
pro,64,1023.000,1013.000,0.987,1033.500,1025.000,0.829,1006.000,1055.000
pro,128,1169.000,1178.500,-0.806,1186.500,1190.000,-0.294,1169.000,1255.000
pro,256,1587.000,1593.000,-0.377,1623.000,1608.000,0.933,1593.000,1636.000
pro,512,2500.000,2474.000,1.051,2532.000,2485.000,1.891,2478.000,2515.000
pro,1024,3895.000,3852.000,1.116,3904.000,3864.000,1.035,3845.000,3914.000
pro,2048,6924.000,6865.000,0.859,6932.000,6881.000,0.741,6810.000,6883.000
pro,4096,13065.000,12832.000,1.816,13080.000,12842.000,1.853,12790.000,12888.000
pro,8192,25261.000,24912.000,1.401,25289.000,24912.000,1.513,24874.000,25006.000
