variant,m,rep1_us,rep2_us,rep3_us,median_us,paired_effect_pct_median
original,1,328.512,341.600,329.136,329.136,0.000
original,8,800.608,803.200,788.912,800.608,0.000
original,64,1129.328,1124.944,1121.904,1124.944,0.000
persistent_flush,1,311.408,304.352,306.384,306.384,-6.913
persistent_flush,8,769.312,769.168,765.808,769.168,-3.909
persistent_flush,64,1090.720,1092.448,1091.344,1091.344,-2.889
reuse_events,1,335.024,329.648,344.368,335.024,1.982
reuse_events,8,814.304,794.960,796.448,796.448,0.955
reuse_events,64,1120.960,1116.480,1115.456,1116.480,-0.741
timing_loop,1,304.240,304.560,306.240,304.560,-7.388
timing_loop,8,767.696,765.152,764.784,765.152,-4.111
timing_loop,64,1092.880,1091.344,1093.440,1092.880,-2.987
no_empty_cache,1,329.120,324.816,340.768,329.120,0.185
no_empty_cache,8,797.248,794.736,787.552,794.736,-0.420
no_empty_cache,64,1126.304,1112.192,1115.488,1115.488,-0.572
drop_l1,1,331.168,326.672,348.000,331.168,0.808
drop_l1,8,795.072,787.712,798.208,795.072,-0.691
drop_l1,64,1121.152,1130.800,1116.752,1121.152,-0.459
extra_prewarm,1,337.712,354.848,339.520,339.520,3.155
extra_prewarm,8,804.896,794.224,794.480,794.480,0.536
extra_prewarm,64,1124.624,1117.392,1117.840,1117.840,-0.417
all_customlike,1,308.912,303.664,304.176,304.176,-7.583
all_customlike,8,770.736,766.112,764.752,766.112,-3.731
all_customlike,64,1093.312,1091.696,1091.680,1091.696,-2.956
