mode,m,rep1_us,rep2_us,rep3_us,median_us,median_rank_spread_us,mean_rank_spread_us,rank_median_range_us
transient,1,345.296,328.592,336.096,336.096,43.424,95.496,21.696
transient_fixed,1,304.736,304.480,307.984,304.736,12.352,85.318,11.872
persistent_query,1,350.688,332.000,322.160,332.000,38.304,103.068,32.640
persistent,1,320.992,305.024,303.968,305.024,13.104,26.243,11.264
transient,8,800.160,797.008,786.384,797.008,37.440,185.741,20.112
transient_fixed,8,766.832,767.120,767.280,767.120,6.496,73.945,4.016
persistent_query,8,803.312,792.432,790.352,792.432,31.104,123.493,17.968
persistent,8,769.888,764.448,765.920,765.920,5.696,11.648,4.176
transient,64,1133.344,1129.904,1112.416,1129.904,44.416,122.233,21.200
transient_fixed,64,1091.808,1092.336,1095.472,1092.336,6.768,22.726,4.176
persistent_query,64,1122.192,1113.728,1118.976,1118.976,30.096,201.096,18.432
persistent,64,1091.728,1092.848,1091.024,1091.728,4.880,8.851,2.976
