kernel,shape,nccl_ms,nccl_tflops_per_gpu,mkernel_ms,mkernel_tflops_per_gpu,mkernel_vs_nccl
ag_gemm,M=8192,1.551642,44.288,0.810099,84.828,1.915
ag_gemm,M=16384,7.563917,72.681,5.206045,105.600,1.453
ag_gemm,M=32768,47.494385,92.601,38.022133,115.671,1.249
gemm_ar,M=8192,2.824845,24.327,1.742624,39.434,1.621
gemm_ar,M=12288,5.716394,40.572,4.408416,52.610,1.297
gemm_ar,M=16384,11.001066,49.973,8.950752,61.420,1.229
gemm_ar,M=20480,18.428586,58.265,16.438496,65.319,1.121
gemm_ar,M=22528,23.333421,61.249,21.620192,66.103,1.079
dispatch_gemm,tokens=8192,2.457264,48.940,3.451606,34.841,0.712
dispatch_gemm,tokens=16384,4.663280,51.577,5.409898,44.459,0.862
dispatch_gemm,tokens=32768,9.465651,50.819,11.406872,42.171,0.830
dispatch_gemm,tokens=65536,18.210851,52.830,17.339550,55.484,1.050
dispatch_gemm,tokens=131072,36.878033,52.176,30.951462,62.167,1.191
ring_attention,total_seq=12288,7.249001,42.659,4.303712,71.854,1.684
ring_attention,total_seq=24576,21.992288,56.245,12.465504,99.230,1.764
ring_attention,total_seq=49152,73.824091,67.022,43.287231,114.302,1.705
ring_attention,total_seq=98304,268.720923,73.650,161.266113,122.724,1.666
ring_attention,total_seq=196608,1010.150586,78.369,621.287354,127.421,1.626
gemm_rs,M=4096,0.470906,18.241,4.233312,2.029,0.111
gemm_rs,M=8192,1.569766,43.777,2.668096,25.756,0.588
