q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8192	8192	fp8	1	64	4	128	0.7249	0.0014	1516.9035	289.2911	33.7090	0.0000
16384	16384	fp8	1	64	4	128	2.7516	0.0143	1598.4851	152.4341	35.5219	0.0000
8192	8192	fp8	1	16	1	128	0.2050	0.0010	1341.2932	255.8002	29.8065	0.0000
16384	16384	fp8	1	16	1	128	0.7025	0.0074	1565.2456	149.2643	34.7832	0.0000
4	8192	fp8	32	64	4	128	0.0655	0.0006	524.1920	4144.0000	51.8000	-8.3287
4	131072	fp8	32	64	4	128	0.7671	0.0243	716.6259	5602.8047	70.0351	12.4786
8	8192	fp8	32	64	4	128	0.0676	0.0009	1015.8855	4063.0459	50.7881	-8.3287
8	8192	fp8	32	64	4	128	0.1147	0.0007	149.7548	639.8215	7.9978	-4.2943
8	131072	fp8	32	64	4	128	0.8806	0.0293	1248.5037	4884.2420	61.0530	12.4786
8	131072	fp8	32	64	4	128	0.1148	0.0048	149.6296	639.2865	7.9911	-4.2943
