q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8192	8192	bf16	1	64	4	128	0.9602	0.0185	1145.2353	297.0371	50.8993	0.0000
16384	16384	bf16	1	64	4	128	3.7458	0.0366	1174.2066	152.2850	52.1870	0.0000
32768	32768	bf16	1	64	4	128	15.1049	0.1158	1164.7009	75.5284	51.7645	0.0000
65536	65536	bf16	1	64	4	128	59.8702	0.1511	1175.3729	38.1108	52.2388	0.0000
131072	131072	bf16	1	64	4	128	238.5627	0.1696	1179.8874	19.1287	52.4394	0.0000
8192	8192	bf16	1	32	2	128	0.4803	0.0049	1144.8539	296.9382	50.8824	0.0000
16384	16384	bf16	1	32	2	128	1.8955	0.0321	1160.2261	150.4718	51.5656	0.0000
32768	32768	bf16	1	32	2	128	7.3871	0.0593	1190.7675	77.2187	52.9230	0.0000
65536	65536	bf16	1	32	2	128	29.3612	0.2023	1198.3478	38.8557	53.2599	0.0000
131072	131072	bf16	1	32	2	128	117.4979	0.2517	1197.7965	19.4191	53.2354	0.0000
8192	8192	bf16	1	16	1	128	0.2396	0.0031	1147.4533	297.6124	50.9979	0.0000
16384	16384	bf16	1	16	1	128	0.9318	0.0100	1180.0081	153.0374	52.4448	0.0000
32768	32768	bf16	1	16	1	128	3.6976	0.0342	1189.4536	77.1335	52.8646	0.0000
65536	65536	bf16	1	16	1	128	14.5377	0.0884	1210.1240	39.2376	53.7833	0.0000
131072	131072	bf16	1	16	1	128	58.0875	0.3316	1211.4364	19.6402	53.8416	0.0000
8192	8192	bf16	1	64	4	128	0.9685	0.0120	1135.4535	294.5000	50.4646	0.0000
16384	16384	bf16	1	64	4	128	3.7571	0.0251	1170.6812	151.8277	52.0303	0.0000
32768	32768	bf16	1	64	4	128	14.9492	0.1057	1176.8325	76.3151	52.3037	0.0000
65536	65536	bf16	1	64	4	128	59.6398	0.0728	1179.9135	38.2580	52.4406	0.0000
131072	131072	bf16	1	64	4	128	237.3290	0.0970	1186.0208	19.2282	52.7120	0.0000
8192	8192	bf16	1	64	4	128	1.5033	0.0387	365.6886	181.3489	16.2528	0.0000
