q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8192	8192	fp8	1	64	4	128	0.7294	0.0076	1507.5867	287.5142	33.5019	0.0000
16384	16384	fp8	1	64	4	128	2.8519	0.0180	1542.2554	147.0720	34.2723	0.0000
32768	32768	fp8	1	64	4	128	11.1519	0.0593	1577.5578	75.2215	35.0568	0.0000
65536	65536	fp8	1	64	4	128	43.9236	0.1566	1602.0964	38.1964	35.6021	0.0000
131072	131072	fp8	1	64	4	128	174.6094	0.3054	1612.0390	19.2169	35.8231	0.0000
8192	8192	fp8	1	32	2	128	0.3809	0.0011	1443.4988	275.2919	32.0778	0.0000
16384	16384	fp8	1	32	2	128	1.4297	0.0106	1538.1649	146.6819	34.1814	0.0000
32768	32768	fp8	1	32	2	128	5.5958	0.0391	1571.9511	74.9542	34.9322	0.0000
65536	65536	fp8	1	32	2	128	21.8082	0.0966	1613.3780	38.4653	35.8528	0.0000
131072	131072	fp8	1	32	2	128	86.6785	0.2166	1623.6848	19.3557	36.0819	0.0000
8192	8192	fp8	1	16	1	128	0.2036	0.0010	1349.9345	257.4481	29.9985	0.0000
16384	16384	fp8	1	16	1	128	0.7066	0.0110	1556.1720	148.3991	34.5816	0.0000
32768	32768	fp8	1	16	1	128	2.7618	0.0140	1592.5282	75.9353	35.3895	0.0000
65536	65536	fp8	1	16	1	128	10.9015	0.0508	1613.7592	38.4744	35.8613	0.0000
131072	131072	fp8	1	16	1	128	42.9349	0.1254	1638.9770	19.5380	36.4217	0.0000
8192	8192	fp8	1	64	4	128	0.7320	0.0087	1502.3470	286.5150	33.3855	0.0000
16384	16384	fp8	1	64	4	128	2.8509	0.0189	1542.7574	147.1198	34.2835	0.0000
32768	32768	fp8	1	64	4	128	11.1277	0.0571	1580.9898	75.3852	35.1331	0.0000
65536	65536	fp8	1	64	4	128	43.8426	0.1509	1605.0572	38.2670	35.6679	0.0000
131072	131072	fp8	1	64	4	128	173.7965	0.3171	1619.5787	19.3067	35.9906	0.0000
8192	8192	fp8	1	64	4	128	1.4306	0.0041	384.2941	142.1987	8.5399	0.0000
16384	16384	fp8	1	64	4	128	2.6828	0.0043	409.8300	150.8659	9.1073	0.0000
32768	32768	fp8	1	64	4	128	4.8814	0.0497	450.4866	165.4027	10.0108	0.0000
65536	65536	fp8	1	64	4	128	9.3204	0.0688	471.8732	173.0301	10.4861	0.0000
131072	131072	fp8	1	64	4	128	18.8314	0.1787	467.0981	171.1678	10.3800	0.0000
4	8192	fp8	32	64	4	128	0.0676	0.0009	508.3074	4018.4242	50.2303	-8.3287
4	16384	fp8	32	64	4	128	0.1219	0.0012	563.8884	4431.5968	55.3950	2.1945
4	32768	fp8	32	64	4	128	0.2058	0.0019	667.7193	5232.0795	65.4010	7.6164
4	65536	fp8	32	64	4	128	0.4024	0.0049	683.1349	5344.9313	66.8116	10.7697
4	8192	fp8	64	64	4	128	0.1298	0.0013	529.4921	4185.9000	52.3237	3.5655
4	16384	fp8	64	64	4	128	0.2161	0.0018	636.0447	4998.6728	62.4834	8.3134
4	32768	fp8	64	64	4	128	0.4138	0.0048	664.3110	5205.3729	65.0672	11.1187
4	65536	fp8	64	64	4	128	0.8284	0.0108	663.5821	5191.9478	64.8993	12.6528
4	8192	fp8	128	64	4	128	0.2306	0.0022	596.0001	4711.6790	58.8960	9.6572
4	16384	fp8	128	64	4	128	0.4313	0.0054	637.2717	5008.3159	62.6039	11.8032
4	32768	fp8	128	64	4	128	0.8479	0.0102	648.3651	5080.4250	63.5053	12.9977
4	65536	fp8	128	64	4	128	1.6856	0.0299	652.2943	5103.6313	63.7954	14.2546
4	8192	fp8	32	64	4	128	0.0676	0.0010	508.3074	4018.4242	50.2303	-8.3287
4	16384	fp8	32	64	4	128	0.1219	0.0011	563.7404	4430.4333	55.3804	2.1945
4	32768	fp8	32	64	4	128	0.2056	0.0020	668.4468	5237.7801	65.4723	7.6164
4	65536	fp8	32	64	4	128	0.4004	0.0048	686.4925	5371.2023	67.1400	10.7697
4	8192	fp8	64	64	4	128	0.1297	0.0012	529.8841	4188.9989	52.3625	3.5655
4	16384	fp8	64	64	4	128	0.2161	0.0020	636.0447	4998.6728	62.4834	8.3134
4	32768	fp8	64	64	4	128	0.4106	0.0054	669.3845	5245.1272	65.5641	11.1187
4	65536	fp8	64	64	4	128	0.8225	0.0070	668.3841	5229.5194	65.3690	12.6528
4	8192	fp8	128	64	4	128	0.2305	0.0019	596.0829	4712.3332	58.9042	9.6572
4	16384	fp8	128	64	4	128	0.4275	0.0054	642.9003	5052.5508	63.1569	11.8032
4	32768	fp8	128	64	4	128	0.8447	0.0095	650.7721	5099.2858	63.7411	12.9977
4	65536	fp8	128	64	4	128	1.6937	0.0306	649.1763	5079.2352	63.4904	14.2546
8	8192	fp8	32	64	4	128	0.0686	0.0011	1000.7301	4002.4316	50.0304	-8.3287
8	8192	fp8	32	64	4	128	0.1146	0.0010	149.9639	640.7151	8.0089	-4.2943
8	16384	fp8	32	64	4	128	0.1300	0.0014	1056.6067	4176.6297	52.2079	2.1945
8	16384	fp8	32	64	4	128	0.1147	0.0009	149.8384	640.1786	8.0022	-4.2943
8	32768	fp8	32	64	4	128	0.2264	0.0022	1213.8238	4769.7909	59.6224	7.6164
8	32768	fp8	32	64	4	128	0.1147	0.0010	149.8384	640.1786	8.0022	-4.2943
8	65536	fp8	32	64	4	128	0.4452	0.0050	1234.6522	4837.2482	60.4656	10.7697
8	65536	fp8	32	64	4	128	0.1145	0.0010	150.0058	640.8941	8.0112	-4.2943
8	8192	fp8	64	64	4	128	0.1424	0.0014	964.9656	3859.3912	48.2424	3.5655
8	8192	fp8	64	64	4	128	0.2130	0.0014	161.3194	689.2308	8.6154	-2.2485
8	16384	fp8	64	64	4	128	0.2396	0.0041	1147.0682	4534.2124	56.6777	8.3134
8	16384	fp8	64	64	4	128	0.2130	0.0014	161.3194	689.2308	8.6154	-2.2485
8	32768	fp8	64	64	4	128	0.4596	0.0054	1196.1587	4700.3747	58.7547	11.1187
8	32768	fp8	64	64	4	128	0.2130	0.0015	161.3436	689.3343	8.6167	-2.2485
8	65536	fp8	64	64	4	128	0.9081	0.0109	1210.6805	4743.3292	59.2916	12.6528
8	65536	fp8	64	64	4	128	0.2128	0.0015	161.4649	689.8526	8.6232	-2.2485
8	8192	fp8	128	64	4	128	0.2673	0.0249	1028.0489	4111.6934	51.3962	9.6572
8	8192	fp8	128	64	4	128	0.3994	0.0029	172.0464	735.0617	9.1883	-1.1515
8	16384	fp8	128	64	4	128	0.4847	0.0055	1134.0045	4482.5733	56.0322	11.8032
8	16384	fp8	128	64	4	128	0.3994	0.0029	172.0602	735.1206	9.1890	-1.1515
8	32768	fp8	128	64	4	128	0.9460	0.0101	1162.1110	4566.5824	57.0823	12.9977
8	32768	fp8	128	64	4	128	0.3994	0.0029	172.0602	735.1206	9.1890	-1.1515
8	65536	fp8	128	64	4	128	1.8771	0.0461	1171.4453	4589.6094	57.3701	14.2546
8	65536	fp8	128	64	4	128	0.3994	0.0027	172.0740	735.1795	9.1897	-1.1515
