recipe,config,precision,startup_ok,skip_reason,bench_rc,sanity_accuracy,req_throughput,input_tok_s,output_tok_s,output_tok_s_vs_fp8,total_tok_s,mean_ttft_ms,mean_tpot_ms,p99_ttft_ms,p99_tpot_ms,error
low-latency,fp8_baseline,pure_fp8,True,,0,5/5,1.16,615.82,178.29,+0.0%,794.11,166.29,5.09,253.84,7.92,
low-latency,marlin_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,1.12,596.61,172.73,-3.1%,769.34,157.57,5.34,212.21,8.57,
low-latency,humming_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,1.13,599.2,173.48,-2.7%,772.68,153.58,4.99,174.45,7.07,
low-latency,humming_w4a8,official_mixed_fp4_fp8_w4a8,True,,0,5/5,1.11,588.77,170.46,-4.4%,759.24,171.19,5.19,209.64,7.89,
balanced,fp8_baseline,pure_fp8,True,,0,5/5,2.21,1183.39,300.62,+0.0%,1484.01,546.99,22.52,1261.56,37.98,
balanced,marlin_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,2.66,1420.41,360.83,+20.0%,1781.25,985.34,14.05,3333.25,30.46,
balanced,humming_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,3.29,1756.8,446.29,+48.5%,2203.09,423.88,15.07,1127.79,28.74,
balanced,humming_w4a8,official_mixed_fp4_fp8_w4a8,True,,0,5/5,3.24,1733.07,440.26,+46.5%,2173.33,465.98,18.12,1283.99,105.21,
max-throughput,fp8_baseline,pure_fp8,True,,0,5/5,4.36,2300.13,481.2,+0.0%,2781.33,1072.61,54.34,2097.82,126.29,
max-throughput,marlin_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,3.78,1993.82,417.12,-13.3%,2410.94,3256.0,63.39,7538.52,481.15,
max-throughput,humming_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,5/5,5.62,2962.35,619.74,+28.8%,3582.09,857.3,43.97,1842.38,130.77,
max-throughput,humming_w4a8,official_mixed_fp4_fp8_w4a8,True,,0,5/5,5.94,3133.14,655.47,+36.2%,3788.61,778.15,41.71,1626.19,117.45,
context-parallel,fp8_baseline,pure_fp8,True,,0,3/5,1.2,2630.69,81.89,+0.0%,2712.58,358.28,19.37,446.67,26.91,
context-parallel,marlin_w4a16,official_mixed_fp4_fp8_w4a16,False,unsupported_by_docs_for_h200_fp4_and_marlin_lacks_deepep_permute_path,,,,,,,,,,,,
context-parallel,humming_w4a16,official_mixed_fp4_fp8_w4a16,True,,0,2/5,0.28,615.16,19.15,-76.6%,634.31,501.28,95.38,665.53,102.85,
context-parallel,humming_w4a8,official_mixed_fp4_fp8_w4a8,True,,0,4/5,0.24,533.57,16.61,-79.7%,550.18,500.74,111.31,678.64,120.78,
