workload,model_id,scenario,compress_ratio,batch_size,s_q,seq_len_target,seq_len_mean,seq_len_min,seq_len_max,h_q,h_kv,d_qk,d_v,primary_topk,primary_topk_avg,primary_unique_tokens,extra_topk,extra_topk_avg,extra_unique_tokens,primary_block_size,extra_block_size,time_us,splitkv_us,combine_us,tflops,gbps,correct,device
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,1,1,4096,3719.0,3719,3719,128,1,512,512,128,128.0,128,0,0.0,0,256,0,18.2,0.0,0.0,1.8,18,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,1,1,32768,42720.0,42720,42720,128,1,512,512,128,128.0,128,0,0.0,0,256,0,18.3,0.0,0.0,1.8,18,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,32,1,4096,4896.5,1,8192,128,1,512,512,128,124.0,3969,0,0.0,0,256,0,22.0,0.0,0.0,47.2,486,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,32,1,32768,35070.8,7712,61494,128,1,512,512,128,128.0,4096,0,0.0,0,256,0,22.1,0.0,0.0,48.5,487,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,128,1,4096,4245.4,1,8192,128,1,512,512,128,124.0,15876,0,0.0,0,256,0,66.5,0.0,0.0,62.6,644,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,swa,0,128,1,32768,33852.8,1,65536,128,1,512,512,128,125.0,16003,0,0.0,0,256,0,66.5,0.0,0.0,63.1,645,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,1,1,4096,4024.0,4024,4024,128,1,512,512,128,128.0,128,1024,1006.0,1006,256,64,22.4,0.0,0.0,13.3,41,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,1,1,32768,26936.0,26936,26936,128,1,512,512,128,128.0,128,1024,1024.0,1024,256,64,22.4,0.0,0.0,13.5,42,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,32,1,4096,3365.6,1,7465,128,1,512,512,128,116.1,3715,1024,712.9,22813,256,64,98.6,0.0,0.0,70.6,242,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,32,1,32768,28180.1,481,53896,128,1,512,512,128,128.0,4096,1024,973.0,31136,256,64,104.8,0.0,0.0,88.2,276,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,128,1,4096,4187.4,1,8192,128,1,512,512,128,124.0,15876,1024,849.0,108667,256,64,299.8,0.0,0.0,108.9,354,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c4,4,128,1,32768,32008.5,1,65536,128,1,512,512,128,124.4,15921,1024,962.0,123131,256,64,326.4,0.0,0.0,111.7,352,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c128,128,1,1,4096,3835.0,3835,3835,128,1,512,512,128,128.0,128,1024,30.0,30,256,2,18.6,0.0,0.0,2.2,19,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c128,128,1,1,32768,11246.0,11246,11246,128,1,512,512,128,128.0,128,1024,88.0,88,256,2,140.9,0.0,0.0,0.4,3,1,NVIDIA H20
dsv4-pro,deepseek-ai/DeepSeek-V4-Pro,c128,128,32,1,4096,4108.5,1,7165,128,1,512,512,128,120.1,3842,1024,32.7,1045,256,2,27.2,0.0,0.0,47.0,413,1,NVIDIA H20
